code,name,unit_amount,price,maker,release_day
DKS001,料理用オリーブオイル,1150ml,"1,110",瀬戸ボトリング 株式会社,平成21年11月
FOT002,健やかチーズ,550g,810,ハルタジデ乳業 株式会社,平成16年05月
FHK003,大自然の抹茶,850ml,960,稲葉化学工業 株式会社,平成22年11月
QSZ004,からだよろこぶ緑茶,800ml,550,株式会社 クリソベリル・クンツァイトケミカル,平成19年07月
BPV005,大自然がくれたコーヒー,1200ml,310,うめだ・おおたけ化学工業 株式会社,平成16年10月
FLW006,デラックスお酢,600ml,900,株式会社 武藤ケミカル,平成20年12月
JKT007,今までなかったマーガリン,650g,"1,190",株式会社 かわの・ぬまた食品工業,平成15年10月
UWX008,ミルキースライスチーズ,1000g,"1,430",せとバイオ 株式会社,平成20年11月
FHZ009,徳用バター,350g,"1,640",おおい食品工業 株式会社,平成16年09月
NTW010,ヘルシーミネラルウォーター,450ml,600,株式会社 サルテーニャ乳業,平成19年06月
AEW011,プレミアム牛乳,1150ml,520,株式会社 比嘉ケミカル,平成22年01月
AEU012,おいしいチョコレート,850g,"1,440",おおたけ乳業 株式会社,平成17年12月
ACL013,みんなの塩,400g,"1,670", くろだフード 株式会社,平成12年05月
DEQ014,熟成豆乳,600ml,"1,060", 株式会社 クニャペケミカル,平成18年04月
VWX015,エクストラコーヒー牛乳,1150ml,"1,800",パアエアリフード 株式会社,平成21年09月
EGI016,フレッシュお茶,600ml,850,株式会社 小原・角田フード,平成19年04月
GRW017,奇跡の紅茶,650ml,"1,080", 岡野水産 株式会社,平成16年08月
MQR018,純正ジャム,500g,"1,600",クリソベリル製糖 株式会社,平成13年03月
ACZ019,極上ウーロン茶,700ml,330, 株式会社 ムラマツ食品工業,平成19年11月
HLY020,高級ガーリック,1200g,"1,360", おざき水産 株式会社,平成13年09月
FWZ021,デリシャス粉チーズ,850g,"1,570", 株式会社 クリソベリル産業,平成22年05月
GVZ022,天然粉チーズ,1150g,"1,780", せと食品 株式会社,平成22年07月
KTZ023,健康ミネラルウォーター,1200ml,"1,610",黒田化学 株式会社,平成13年04月
GRU024,からだにやさしいお酢,500ml,"1,660",株式会社 アレパ食品工業,平成12年09月
QTU025,極旨ガーリック,450g,"1,120",株式会社 川畑乳業,平成15年07月
IOR026,最高級牛乳,1200ml,"1,080", 株式会社 野中フード,平成22年12月
CDY027,オリジナルチーズ,1150g,590,三谷・島化学工業 株式会社,平成18年09月
LMQ028,高級豆乳,600ml,920,株式会社 かくだ乳業,平成21年03月
BMV029,オリジナルお酢,900ml,850,株式会社 かわの・ぬまた乳業,平成20年04月
KLW030,オリジナル抹茶,1200ml,"1,300", ダミーネット・メディエク化成工業 株式会社,平成14年08月
DST031,奇跡の牛乳,850ml,"1,690", 株式会社 ヌマタ水産,平成21年02月
EKZ032,健やかチョコレート,550g,"1,260",岡野製糖 株式会社,平成13年09月
AOW033,熟成抹茶,1050ml,890, 株式会社 尾崎ケミカル,平成13年01月
DFZ034,最高級緑茶,900ml,"1,030",ポン・デ・ケイジョ水産 株式会社,平成22年01月
DTZ035,エクストラチーズ,1200g,430,株式会社 パアエアリ水産,平成17年04月
FOW036,みんなのバター,700g,860, 株式会社 スフォリアテレ水産,平成13年07月
QTZ037,極上ジャム,550g,"1,420",株式会社 角田水産,平成22年06月
CRW038,奇跡のコーヒー牛乳,900ml,670,武藤食品工業 株式会社,平成15年07月
ENP039,純正豆乳,850ml,490,株式会社 谷本・たにもとケミカル,平成22年01月
CIY040,みんなのオリーブオイル,800ml,"1,630",いなば産業 株式会社,平成22年11月
CMT041,今までなかったウーロン茶,650ml,990, クリソコラ水産 株式会社,平成17年06月
CWZ042,極上コーヒー牛乳,350ml,460,株式会社 とよた水産,平成13年01月
FPW043,ヘルシー粉チーズ,850g,"1,180",村松フード 株式会社,平成22年03月
MPR044,天然ウーロン茶,950ml,"1,790", ほしのケミカル 株式会社,平成14年06月
CTY045,極上コーヒー,650ml,"1,150",株式会社 ライトシスケミカル,平成13年10月
ATY046,徳用塩,750g,850,株式会社 おおたけケミカル,平成21年01月
LPX047,デラックス粉チーズ,800g,910,株式会社 キャッツアイ・クリスタルフード,平成21年11月
BGV048,デリシャスお茶,450ml,500,株式会社 クンツァイトケミカル,平成20年01月
NWZ049,奇跡の緑茶,450ml,510,株式会社 のなか食品工業,平成21年05月
ANY050,ヘルシースライスチーズ,900g,870,株式会社 大竹産業,平成16年06月
LUV051,健康ガーリック,900g,990,株式会社 ポン・デ・ケイジョ化学工業,平成20年05月
QXZ052,デリシャスチョコレート,1050g,780,株式会社 とよた乳業,平成13年04月
DTW053,極旨スライスチーズ,800g,"1,230",しまフード 株式会社,平成17年07月
EGU054,デリシャスミネラルウォーター,450ml,510,株式会社 黒田水産,平成22年08月
GRW055,純正バター,1000g,790,ドリームバイ食品工業 株式会社,平成12年09月
EIU056,健やか紅茶,400ml,"1,450",コーラル乳業 株式会社,平成20年10月
ENP057,極旨ガーリック,900g,"1,470",株式会社 石崎製糖,平成18年07月
LPQ058,極上お酢,1050ml,"1,240", 株式会社 サルテーニャ水産,平成12年05月
JMZ059,おいしいガーリック,350g,820,株式会社 むらまつケミカル,平成16年07月
HPZ060,ヘルシーチーズ,750g,930,株式会社 スフォリアテレ冷凍食品,平成12年11月
DIJ061,みんなの紅茶,950ml,650,株式会社 メディエク・ジー・エフ製糖,平成13年06月
IOW062,プレミアム塩,900g,800, ドリームバイケミカル 株式会社,平成18年04月
BEQ063,エクストラオリーブオイル,1150ml,"1,310", 株式会社 川畑ケミカル,平成22年04月
FLN064,デリシャスマーガリン,450g,"1,180",株式会社 豊田水産,平成18年08月
BCO065,熟成粉チーズ,1000g,420,オカノバイオ 株式会社,平成18年07月
EQS066,からだにやさしいウーロン茶,650ml,620,株式会社 大竹バイオ,平成19年11月
BEU067,ミルキーお酢,350ml,"1,040", 川畑食品工業 株式会社,平成14年01月
NUZ068,料理用ジャム,800g,"1,580",武藤乳業 株式会社,平成15年12月
BRS069,徳用塩,1000g,"1,780", パーネ・カラザウ化学工業 株式会社,平成15年11月
BLO070,みんなのミネラルウォーター,500ml,900, ハルタジデケミカル 株式会社,平成17年02月
DMP071,ミルキー粉チーズ,850g,700,株式会社 おおい乳業,平成13年12月
TUX072,天然ミネラルウォーター,1200ml,"1,200", 尾崎ケミカル 株式会社,平成13年05月
HJM073,ヘルシーオリーブオイル,750ml,480,株式会社 武藤食品工業,平成19年11月
KTW074,からだにやさしいチョコレート,900g,560,株式会社 サルテーニャ乳業,平成22年03月
MQR075,エクストラウーロン茶,750ml,"1,770",株式会社 にしはらフード,平成14年05月
JRX076,今までなかった抹茶,850ml,410,株式会社 オオタケ水産,平成19年07月
CLO077,からだにやさしい粉チーズ,600g,800,野中フード 株式会社,平成16年09月
IMY078,料理用お茶,400ml,"1,060",株式会社 木原フード,平成18年08月
BJM079,徳用チョコレート,1200g,370,株式会社 尾崎製糖,平成13年03月
BNW080,からだにやさしいコーヒー牛乳,600ml,560, 株式会社 むらまつ食品工業,平成21年02月
QSV081,エクストラ粉チーズ,1050g,"1,760",木原水産 株式会社,平成16年01月
BDZ082,奇跡のコーヒー牛乳,1050ml,"1,200",株式会社 堀江ケミカル,平成19年07月
BUV083,オリジナルバター,750g,750,株式会社 豊田ケミカル,平成16年12月
MNW084,奇跡の牛乳,1150ml,"1,090",角田フード 株式会社,平成18年05月
GQS085,プレミアム抹茶,700ml,"1,160",株式会社 豊田産業,平成22年01月
BEY086,今までなかったチーズ,900g,"1,170",村松化学工業 株式会社,平成13年10月
GKW087,プレミアムチョコレート,1000g,600,株式会社 野中製糖,平成20年12月
NRY088,からだにやさしい牛乳,1150ml,"1,730",株式会社 ぬまた産業,平成22年01月
DOX089,大自然がくれた緑茶,1200ml,"1,760", 堀乳業 株式会社,平成13年03月
LQZ090,デラックスガーリック,300g,980,株式会社 ライトシス冷凍食品,平成12年08月
IMW091,ミルキーバター,550g,360,ポン・デ・ケイジョフード 株式会社,平成13年10月
NSU092,ミルキー緑茶,500ml,960, 村松食品 株式会社,平成20年09月
FOX093,プレミアムお酢,1000ml,"1,220",サルテーニャ乳業 株式会社,平成12年10月
CIR094,徳用バター,800g,"1,270",株式会社 イナバ水産,平成20年10月
CJU095,料理用粉チーズ,600g,610,株式会社 さかた・小原乳業,平成17年03月
IRW096,天然ガーリック,1150g,"1,560",かくだ乳業 株式会社,平成21年01月
QTW097,極旨マーガリン,750g,650, アレパケミカル 株式会社,平成22年12月
ABW098,高級抹茶,350ml,300, オオイ水産 株式会社,平成18年07月
DNV099,ミルキーお茶,500ml,"1,120", 株式会社 大井化学,平成15年06月
OQR100,熟成チーズ,1200g,"1,140",沼田乳業 株式会社,平成14年09月
AKL101,今までなかった牛乳,1050ml,"1,150",東亜食品工業 株式会社,平成12年06月
KPS102,料理用ジャム,800g,"1,560", 東亜ケミカル 株式会社,平成19年08月
GNO103,最高級チョコレート,1150g,"1,010", 手島乳業 株式会社,平成22年03月
BIK104,おいしい塩,600g,580,パン・ド・ミーケミカル 株式会社,平成19年12月
EJV105,大自然がくれた豆乳,1200ml,670,バルビゾン乳業 株式会社,平成18年03月
DXZ106,熟成お茶,650ml,"1,090",株式会社 菅原乳業,平成20年12月
BMO107,ヘルシーミネラルウォーター,800ml,"1,790",菅原ケミカル 株式会社,平成19年09月
AHO108,からだよろこぶチーズ,350g,"1,760",アテネアンビアンスフード 株式会社,平成19年04月
BLW109,デリシャスバター,350g,560, 株式会社 エヌ・アイ・デイケミカル,平成19年02月
NWX110,極旨粉チーズ,700g,650,アルーラアルマダ化学 株式会社,平成18年03月
IKM111,健やか紅茶,650ml,430, 株式会社 アルーラアルマダ製糖,平成19年01月
BIJ112,ミルキーコーヒー牛乳,1150ml,"1,730",株式会社 キャネール製糖,平成14年10月
AIS113,オリジナルガーリック,1150g,"1,470",株式会社 スターオブビューティー・マヨールラルズボトリング,平成22年12月
BYZ114,純正緑茶,600ml,"1,250",エビット冷凍食品 株式会社,平成16年10月
DNU115,からだにやさしいマーガリン,400g,580, 株式会社 ルミエール化学,平成12年10月
BJQ116,天然抹茶,750ml,800, 株式会社 トライアングル食品,平成20年12月
HUV117,プレミアムお酢,600ml,"1,370",クーペ製糖 株式会社,平成22年03月
HLW118,徳用コーヒー,950ml,"1,370",ケンザキルビー化学工業 株式会社,平成12年11月
AIP119,極上スライスチーズ,700g,"1,100", アバランジェ食品 株式会社,平成17年06月
ARZ120,デラックスウーロン茶,500ml,640,株式会社 クーペフード,平成18年04月
CEQ121,みんなのオリーブオイル,700ml,810, 株式会社 シルラミドア食品工業,平成20年01月
LMY122,大自然のチョコレート,950g,"1,270",タブチ冷凍食品 株式会社,平成18年11月
GVX123,健康紅茶,1200ml,830,タイヨー乳業 株式会社,平成17年11月
EFY124,フレッシュマーガリン,1050g,"1,200",西アジア水産 株式会社,平成22年06月
QTV125,奇跡のお茶,1050ml,690, 株式会社 アイ・ビー乳業,平成15年12月
AEO126,高級粉チーズ,900g,510, パロスビエンヌ化学工業 株式会社,平成18年06月
CSX127,エクストラガーリック,300g,"1,280",株式会社 カスターノ化学,平成15年03月
BMY128,天然緑茶,700ml,360,株式会社 門脇化学,平成21年10月
GQX129,極上チョコレート,500g,800,バルビゾン産業 株式会社,平成19年04月
CFP130,デリシャス緑茶,800ml,"1,310",株式会社 タムラ食品工業,平成16年12月
CDJ131,奇跡のお酢,650ml,"1,190",株式会社 かどわき水産,平成16年10月
BHO132,ヘルシーミネラルウォーター,600ml,340,マジカルダイヤモンド・マヨールラルズ食品工業 株式会社,平成12年06月
CHQ133,徳用牛乳,1150ml,930,株式会社 アぺリオレッドバイオ,平成18年08月
KRU134,みんなの豆乳,1150ml,"1,410",パロスビエンヌケミカル 株式会社,平成18年11月
DHW135,エクストラコーヒー牛乳,1200ml,"1,600",株式会社 イデイアヌエ化学,平成15年08月
BCM136,デラックスチョコレート,750g,"1,390",株式会社 ポーリンバイオレット食品工業,平成19年10月
AKQ137,奇跡の緑茶,550ml,"1,180", 株式会社 ニースノアン・バルビゾン化学,平成16年07月
AHV138,健やかお茶,350ml,730, 株式会社 ケンザキルビーフード,平成16年10月
DOU139,料理用ジャム,450g,"1,480",株式会社 バゲット・ブールボトリング,平成16年01月
CLO140,おいしいオリーブオイル,1100ml,"1,290",ラインフード 株式会社,平成13年01月
DFM141,ヘルシーバター,600g,300,バルビゾン製糖 株式会社,平成22年06月
GIL142,ミルキーお酢,600ml,"1,750",パピリオ食品工業 株式会社,平成19年02月
ERV143,奇跡のコーヒー牛乳,450ml,"1,690",アスペンアズーロ化成工業 株式会社,平成15年11月
HNT144,オリジナル牛乳,850ml,"1,260",株式会社 カスターノ化学工業,平成22年06月
CNX145,高級抹茶,300ml,"1,630",あさぎり・トライアングル食品 株式会社,平成12年04月
GLZ146,極上スライスチーズ,300g,"1,050", バルビゾンケミカル 株式会社,平成20年03月
MSZ147,大自然がくれたスライスチーズ,1150g,460, 株式会社 西アジア化学工業,平成22年04月
LWY148,今までなかった塩,950g,"1,160",手島化学 株式会社,平成19年11月
FPR149,ヘルシーコーヒー,900ml,"1,150",株式会社 ライン食品工業,平成22年02月
FIV150,フレッシュ牛乳,850ml,"1,680", 株式会社 シドニダズラーフード,平成19年01月
HUV151,今までなかったオリーブオイル,700ml,"1,520", 株式会社 シドニダズラー食品工業,平成16年11月
TWZ152,プレミアム豆乳,1150ml,"1,090",株式会社 東亜フード,平成20年03月
BHO153,エクストラコーヒー,550ml,"1,440",シルラミドア製糖 株式会社,平成15年04月
GQY154,デラックスコーヒー牛乳,650ml,430, 株式会社 スターズ食品工業,平成18年01月
ILS155,今までなかったマーガリン,550g,800,株式会社 アテネアンビアンス産業,平成14年07月
ENU156,ミルキーお茶,950ml,"1,300",株式会社 野上・田淵食品,平成18年02月
LRU157,からだにやさしいミネラルウォーター,1150ml,570,株式会社 アルーラアルマダ化学工業,平成22年04月
DHM158,熟成ウーロン茶,650ml,720,株式会社 てしまケミカル,平成14年03月
IPX159,からだにやさしい抹茶,800ml,"1,190", 株式会社 ゴールドスパーク食品工業,平成12年07月
ADL160,オリジナルお茶,300ml,650,株式会社 トネＩＢＳ水産,平成20年05月
NTV161,高級緑茶,1150ml,390, 株式会社 イデイアヌエボトリング,平成14年12月
DHS162,徳用チョコレート,300g,"1,120",トネＩＢＳ水産 株式会社,平成20年07月
MQT163,天然お酢,600ml,"1,150",てしま乳業 株式会社,平成12年10月
MRV164,料理用塩,600g,700,株式会社 田村ケミカル,平成21年08月
CHQ165,デラックス緑茶,400ml,530, 株式会社 トライアングル乳業,平成13年11月
CKR166,天然ガーリック,400g,"1,330",株式会社 スターズ乳業,平成21年03月
CSV167,徳用コーヒー牛乳,950ml,840,門脇化学工業 株式会社,平成15年03月
CRT168,デリシャススライスチーズ,1100g,"1,150",てしま乳業 株式会社,平成22年07月
STZ169,デリシャス粉チーズ,800g,"1,120",パピリオケミカル 株式会社,平成13年02月
DRT170,純正ガーリック,1000g,990,ライン食品 株式会社,平成14年04月
CTV171,熟成チーズ,1150g,"1,740",てしま化学 株式会社,平成21年02月
FOV172,健康紅茶,1100ml,760,トライアングルフード 株式会社,平成18年07月
EUZ173,高級緑茶,600ml,720,株式会社 パン・ド・ミー乳業,平成15年08月
ELS174,みんなの塩,550g,820, 株式会社 東亜水産,平成13年04月
IPX175,フレッシュオリーブオイル,1050ml,"1,550", 株式会社 ラインフード,平成20年12月
ERW176,熟成牛乳,850ml,"1,250",株式会社 タムラ水産,平成16年07月
SUV177,デラックスマーガリン,950g,770,株式会社 エピ産業,平成17年10月
IPZ178,健やかチーズ,1100g,790,カモミーユ製糖 株式会社,平成16年02月
QXY179,からだにやさしい緑茶,950ml,"1,330", かどわきフード 株式会社,平成13年01月
BPY180,熟成ウーロン茶,550ml,940,キャネール食品工業 株式会社,平成16年01月
AET181,純正紅茶,350ml,650, 株式会社 エクスターテ・カスターノ化学,平成16年05月
FJX182,エクストラガーリック,1000g,"1,320", 株式会社 トネＩＢＳ乳業,平成13年11月
HJU183,大自然がくれたチーズ,900g,470, 株式会社 トライアングル水産,平成15年01月
COZ184,デリシャスマーガリン,950g,750, キャネール化学 株式会社,平成16年05月
HNP185,フレッシュスライスチーズ,500g,"1,720",ニースノアン・ブランシェケミカル 株式会社,平成13年08月
FOQ186,エクストラガーリック,1200g,"1,220", 株式会社 キャネール化学工業,平成19年09月
FGJ187,大自然がくれたウーロン茶,1050ml,830,株式会社 東亜化学,平成18年09月
DEI188,極上粉チーズ,850g,"1,490",株式会社 ドリームホワイト産業,平成19年07月
ALN189,大自然のスライスチーズ,1000g,950, 株式会社 マヨールラルズ水産,平成19年10月
GJL190,高級塩,750g,"1,340", トネＩＢＳケミカル 株式会社,平成21年03月
LOQ191,からだにやさしい粉チーズ,600g,"1,590",株式会社 エピバイオ,平成21年02月
PSZ192,極旨ジャム,350g,"1,710",株式会社 エピ水産,平成19年09月
CTZ193,高級豆乳,650ml,"1,520",帝国化学 株式会社,平成12年02月
CMR194,ヘルシー牛乳,700ml,"1,450",バルビゾン食品 株式会社,平成22年05月
EHU195,徳用スライスチーズ,400g,"1,320",滝口乳業 株式会社,平成16年09月
KMP196,大自然がくれたお茶,1050ml,380,ユナイテッド化学工業 株式会社,平成19年08月
AEL197,エクストラスライスチーズ,750g,"1,690", 株式会社 シルラミドア製糖,平成18年03月
EKU198,健やか豆乳,1200ml,"1,320",デルーホＪＳ乳業 株式会社,平成15年05月
STU199,純正チーズ,350g,"1,680", 株式会社 エクスターテ・エッセンシアサイエンス,平成19年08月
BKN200,からだよろこぶスライスチーズ,1000g,"1,470", トライアングルフード 株式会社,平成16年03月
KPX201,プレミアムバター,700g,330, かりのバイオ 株式会社,平成18年07月
ACT202,デラックスチョコレート,1050g,"1,220",パン・ド・ドウ・リーブル乳業 株式会社,平成13年03月
CJQ203,おいしい豆乳,850ml,740,ルシック・ルレーブ水産 株式会社,平成12年09月
